,Item ID,Fiscal Year,Total Volume (L)
234,7339000,2023,55.4
235,7339000,2024,68.5
236,7700091,2024,12.48
237,7720031,2022,355.0
238,7720031,2023,327.0
239,7720031,2024,499.5
240,7720037,2022,4.5
241,7720037,2023,4.5
242,7720037,2024,4.5
243,7720051,2022,24.0
244,7720051,2023,12.0
245,7720051,2024,33.0
246,7720066,2022,0.31
247,7720066,2023,0.36
248,7720066,2024,0.3
249,7720079,2022,2.16
250,7720079,2023,2.25
251,7720079,2024,2.25
252,7720084,2022,8.5
253,7720084,2023,9.0
254,7720084,2024,9.5
255,7720103,2022,1.95
256,7720103,2023,7.85
257,7720103,2024,7.85
258,7720105,2022,3.745
259,7720105,2023,5.5649999999999995
260,7720105,2024,6.335
261,7720106,2022,1.3
262,7720106,2023,2.2
263,7720106,2024,2.3000000000000003
264,7720113,2022,9.67
265,7720113,2023,9.6
266,7720113,2024,10.98
267,7720122,2024,4.699999999999999
268,7721060,2022,1.49
269,7721060,2023,0.17
270,7721060,2024,0.74
271,7721065,2023,2.2
272,7721065,2024,4.1000000000000005
273,7721069,2024,0.9
274,7721071,2022,8.25
275,7721071,2023,10.0
276,7721071,2024,11.0
277,7721073,2023,8.5
278,7721073,2024,3.0
279,7730014,2022,103.62
280,7730014,2023,17.836
281,7730014,2024,8.88
282,7730039,2024,2.0
283,7730061,2022,175.0
284,7730061,2023,150.0
285,7730061,2024,151.0
286,7730071,2022,240.0
287,7730071,2023,210.94
288,7730071,2024,215.3
289,8200801,2024,131.0
290,8200806,2022,1028.0
291,8200806,2023,668.5
292,8200806,2024,453.0
293,8200807,2022,5.0
294,8200809,2023,60.0
295,8200811,2022,267.0
296,8200811,2023,246.0
297,8200811,2024,4.0
298,8204901,2022,5.0
299,8204901,2023,19.0
300,8204901,2024,16.0
301,8204904,2022,1.0
302,8204904,2023,1.0
303,8204904,2024,5.0
304,8204905,2022,16.0
305,8204905,2023,33.0
306,8204905,2024,8.0
307,8204906,2022,20.0
308,8204906,2023,18.0
309,8204906,2024,54.0
310,8204907,2024,2.0
311,8204910,2022,28.0
312,8204910,2023,2.0
313,8204911,2022,52.0
314,8204911,2023,165.5
315,8204911,2024,98.0
316,8600853,2022,0.1
317,8600853,2023,0.1
318,8604960,2022,0.0
319,8604960,2024,1.0
320,8620853,2022,3.9
321,8620853,2023,2.9
322,8620853,2024,2.8
