,Item ID,Month,Product,Product Type,Species,Anticoagulant,Gender,Forecast
73,7332500,2026-04-01,SERUM,FILTERED,GOAT,NONE,GENDER UNSPECIFIED,18.39377812931513
111,7730071,2025-05-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.36579377788878
112,7730071,2025-06-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.267898271173273
113,7730071,2025-07-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.146183235098235
114,7730071,2025-08-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.12312300199801
115,7730071,2025-09-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.138602575757574
116,7730071,2025-10-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.056847564102565
117,7730071,2025-11-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.073334432789423
118,7730071,2025-12-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.13829084859584
119,7730071,2026-01-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.22378826562327
120,7730071,2026-02-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.18893760739261
121,7730071,2026-03-01,PLASMA,UNFILTERED,SHEEP,NA-CITRATE,GENDER UNSPECIFIED,30.11401899267399
123,7730061,2025-05-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
124,7730061,2025-06-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
125,7730061,2025-07-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
126,7730061,2025-08-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
127,7730061,2025-09-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
128,7730061,2025-10-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
129,7730061,2025-11-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
130,7730061,2025-12-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
131,7730061,2026-01-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
132,7730061,2026-02-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
133,7730061,2026-03-01,PLASMA,UNFILTERED,HORSE,NA-CITRATE,GENDER UNSPECIFIED,25.089230769230777
217,7730014,2025-05-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,7.930694999999999
218,7730014,2025-06-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,7.930694999999999
219,7730014,2025-07-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,7.930694999999999
220,7730014,2025-08-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,7.930694999999999
221,7730014,2025-09-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,7.930694999999999
222,7730014,2025-10-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,7.930694999999999
224,7330800-DL,2025-05-01,SERUM,DELIPIDATED,BOVINE,NONE,GENDER UNSPECIFIED,27.89199999999998
225,7330800-DL,2025-06-01,SERUM,DELIPIDATED,BOVINE,NONE,GENDER UNSPECIFIED,27.89199999999998
226,7330800-DL,2025-07-01,SERUM,DELIPIDATED,BOVINE,NONE,GENDER UNSPECIFIED,27.89199999999998
227,7330800-DL,2025-08-01,SERUM,DELIPIDATED,BOVINE,NONE,GENDER UNSPECIFIED,27.89199999999998
228,7330800-DL,2025-09-01,SERUM,DELIPIDATED,BOVINE,NONE,GENDER UNSPECIFIED,27.89199999999998
229,7330800-DL,2025-10-01,SERUM,DELIPIDATED,BOVINE,NONE,GENDER UNSPECIFIED,27.89199999999998
230,7330800-DL,2025-11-01,SERUM,DELIPIDATED,BOVINE,NONE,GENDER UNSPECIFIED,27.89199999999998
231,7330800-DL,2025-12-01,SERUM,DELIPIDATED,BOVINE,NONE,GENDER UNSPECIFIED,27.89199999999998
232,7330800-DL,2026-01-01,SERUM,DELIPIDATED,BOVINE,NONE,GENDER UNSPECIFIED,27.89199999999998
233,7330800-DL,2026-02-01,SERUM,DELIPIDATED,BOVINE,NONE,GENDER UNSPECIFIED,27.89199999999998
234,7330800-DL,2026-03-01,SERUM,DELIPIDATED,BOVINE,NONE,GENDER UNSPECIFIED,27.89199999999998
323,7330800,2025-05-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,5.791518181818178
324,7330800,2025-06-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,6.15718201243201
325,7330800,2025-07-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,5.1139482184482175
326,7330800,2025-08-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,5.011631551781551
327,7330800,2025-09-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,5.800252908202906
328,7330800,2025-10-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,5.902569574869571
329,7330800,2025-11-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
330,7330800,2025-12-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
331,7330800,2026-01-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
332,7330800,2026-02-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
333,7330800,2026-03-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
334,7330800,2026-04-01,SERUM,HEAT INACTIVATED,BOVINE,NONE,GENDER UNSPECIFIED,5.676148218448216
386,7310806,2025-05-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
387,7310806,2025-06-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
388,7310806,2025-07-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
389,7310806,2025-08-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
390,7310806,2025-09-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
391,7310806,2025-10-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
392,7310806,2025-11-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
393,7310806,2025-12-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
394,7310806,2026-01-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
395,7310806,2026-02-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
396,7310806,2026-03-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
397,7310806,2026-04-01,PLASMA,FILTERED,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,16.047625000000007
451,7339000,2025-05-01,SERUM,FILTERED,SHEEP,NONE,GENDER UNSPECIFIED,16.11175
452,7339000,2025-06-01,SERUM,FILTERED,SHEEP,NONE,GENDER UNSPECIFIED,16.11175
453,7339000,2025-07-01,SERUM,FILTERED,SHEEP,NONE,GENDER UNSPECIFIED,16.11175
454,7339000,2025-08-01,SERUM,FILTERED,SHEEP,NONE,GENDER UNSPECIFIED,16.11175
455,7339000,2025-09-01,SERUM,FILTERED,SHEEP,NONE,GENDER UNSPECIFIED,16.11175
456,7339000,2025-10-01,SERUM,FILTERED,SHEEP,NONE,GENDER UNSPECIFIED,16.11175
457,7339000,2025-11-01,SERUM,FILTERED,SHEEP,NONE,GENDER UNSPECIFIED,16.11175
458,7339000,2025-12-01,SERUM,FILTERED,SHEEP,NONE,GENDER UNSPECIFIED,16.11175
459,7339000,2026-01-01,SERUM,FILTERED,SHEEP,NONE,GENDER UNSPECIFIED,16.11175
923,7322100,2025-05-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.78566
924,7322100,2025-06-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.78566
925,7322100,2025-07-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.78566
926,7322100,2025-08-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.78566
927,7322100,2025-09-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.78566
928,7322100,2025-10-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.78566
929,7322100,2025-11-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.78566
930,7322100,2025-12-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.78566
931,7322100,2026-01-01,SERUM,UNFILTERED,DONKEY,NONE,GENDER UNSPECIFIED,1.78566
981,7333400,2025-05-01,SERUM,FILTERED,HORSE,NONE,GENDER UNSPECIFIED,17.020361111111107
982,7333400,2025-06-01,SERUM,FILTERED,HORSE,NONE,GENDER UNSPECIFIED,17.020361111111107
983,7333400,2025-07-01,SERUM,FILTERED,HORSE,NONE,GENDER UNSPECIFIED,17.020361111111107
984,7333400,2025-08-01,SERUM,FILTERED,HORSE,NONE,GENDER UNSPECIFIED,17.020361111111107
985,7333400,2025-09-01,SERUM,FILTERED,HORSE,NONE,GENDER UNSPECIFIED,17.020361111111107
986,7333400,2025-10-01,SERUM,FILTERED,HORSE,NONE,GENDER UNSPECIFIED,17.020361111111107
987,7333400,2025-11-01,SERUM,FILTERED,HORSE,NONE,GENDER UNSPECIFIED,17.020361111111107
988,7333400,2025-12-01,SERUM,FILTERED,HORSE,NONE,GENDER UNSPECIFIED,17.020361111111107
989,7333400,2026-01-01,SERUM,FILTERED,HORSE,NONE,GENDER UNSPECIFIED,17.020361111111107
990,7333400,2026-02-01,SERUM,FILTERED,HORSE,NONE,GENDER UNSPECIFIED,17.020361111111107
991,7333400,2026-03-01,SERUM,FILTERED,HORSE,NONE,GENDER UNSPECIFIED,17.020361111111107
6107,8200806,2025-05-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,32.66475166500167
6108,8200806,2025-06-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,31.445697330447334
6109,8200806,2025-07-01,WHOLE BLOOD,ABATTOIR,BOVINE,NA-CITRATE,GENDER UNSPECIFIED,27.037689393939395
